"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.946066875E0,-1.619385461E-1,1.028598598E-1,1.157748699E-2,1.921933445E-1
1.955994875E0,-8.675738616E-2,1.053309114E-1,3.791919351E-3,1.365130895E-1
1.965923875E0,-1.490306805E-1,8.192714749E-2,2.549386024E-2,1.719655144E-1
1.975851875E0,-1.228036525E-1,1.090175534E-1,1.381521642E-2,1.647920636E-1
1.985780875E0,-1.091326613E-1,9.561278413E-2,3.671992958E-2,1.496666145E-1
1.995708875E0,-1.557303928E-1,1.120057730E-1,1.725337923E-2,1.926004349E-1
2.005637875E0,-8.936904503E-2,8.751045272E-2,2.339295566E-2,1.272483238E-1
2.015565875E0,-1.563282341E-1,9.879437294E-2,1.620088041E-2,1.856375862E-1
2.025494875E0,-9.176840429E-2,1.128657888E-1,1.006247342E-2,1.458128241E-1
2.035422875E0,-1.519724330E-1,7.720832569E-2,5.122687161E-2,1.779913996E-1
2.045351875E0,-1.207538654E-1,1.158446528E-1,-1.104480565E-2,1.677005287E-1
2.055279875E0,-1.013294516E-1,9.223638254E-2,3.086920559E-2,1.404568114E-1
2.065208875E0,-1.563184400E-1,1.093142448E-1,-9.402322769E-3,1.909802672E-1
2.075136875E0,-8.831652794E-2,9.299651144E-2,3.730582058E-2,1.335660305E-1
2.085065875E0,-1.613455654E-1,9.515432588E-2,-4.215842485E-4,1.873150152E-1
2.094993875E0,-9.222669809E-2,1.058306838E-1,1.394736350E-2,1.410688712E-1
2.104922875E0,-1.428575831E-1,8.443531064E-2,3.146152854E-2,1.689006765E-1
2.114850875E0,-1.236910223E-1,1.142118909E-1,-7.012565732E-3,1.685022288E-1
2.124779875E0,-1.032761084E-1,8.737532722E-2,1.349712789E-2,1.359506338E-1
2.134707875E0,-1.590270165E-1,9.668773077E-2,-6.568177342E-3,1.862290262E-1
2.144636875E0,-9.913656296E-2,9.139142334E-2,-4.321677089E-3,1.349041410E-1
2.154564875E0,-1.533604615E-1,8.485986418E-2,-2.348709583E-2,1.768396770E-1
2.164493875E0,-9.389358396E-2,1.082217017E-1,-3.246900380E-2,1.469087405E-1
2.174421875E0,-1.360972882E-1,7.240981730E-2,2.665745616E-2,1.564489484E-1
2.184350875E0,-1.181514890E-1,1.102617039E-1,-1.765274405E-2,1.625700989E-1
2.194278875E0,-1.073835581E-1,7.806982155E-2,5.239923835E-2,1.427298349E-1
2.204207875E0,-1.578707661E-1,8.843642327E-2,1.332346559E-2,1.814433644E-1
2.214135875E0,-8.886681489E-2,6.969528398E-2,1.781178832E-2,1.143328614E-1
2.224064875E0,-1.584092581E-1,8.421031161E-2,-1.168215215E-2,1.797813737E-1
2.233992875E0,-1.045971223E-1,9.004670078E-2,-1.123425543E-2,1.384744555E-1
2.243920875E0,-1.417242648E-1,7.270228771E-2,2.588854730E-2,1.613741205E-1
2.253849875E0,-1.173181420E-1,8.888521534E-2,-2.321520030E-2,1.490069578E-1
2.263777875E0,-1.107912332E-1,6.890847716E-2,3.561246693E-2,1.352454191E-1
2.273706875E0,-1.611821905E-1,8.559751784E-2,3.121828437E-3,1.825277497E-1
2.283634875E0,-9.693162362E-2,7.551270624E-2,4.338867903E-2,1.303091936E-1
2.293563875E0,-1.499012853E-1,6.771600148E-2,1.434263527E-2,1.651107609E-1
2.303491875E0,-1.101988828E-1,8.099464450E-2,1.479053199E-2,1.375597545E-1
2.313420875E0,-1.400178097E-1,6.609589334E-2,1.882920384E-2,1.559749758E-1
2.323348875E0,-1.287017755E-1,9.226252142E-2,-1.276096344E-2,1.588690091E-1
2.333277875E0,-1.115221352E-1,6.808771994E-2,6.986662567E-2,1.481704074E-1
2.343205875E0,-1.554864543E-1,8.471846206E-2,1.267676353E-2,1.775217046E-1
2.353134875E0,-8.434545538E-2,7.025665322E-2,1.641956627E-2,1.109943932E-1
2.363059375E0,-1.543515646E-1,8.095177710E-2,3.991250932E-2,1.788032553E-1
2.372988375E0,-9.967319118E-2,8.756217317E-2,2.509098709E-2,1.350238381E-1
2.382916375E0,-1.439852917E-1,6.504329402E-2,3.661643386E-2,1.621824823E-1
2.392845375E0,-1.200741997E-1,8.999092382E-2,3.975521922E-3,1.501065774E-1
2.402773375E0,-1.171985756E-1,7.173162251E-2,7.597755075E-2,1.570143942E-1
2.412702375E0,-1.516819817E-1,1.001823466E-1,3.369165659E-3,1.818111037E-1
2.422630375E0,-8.998824690E-2,8.717708834E-2,3.435706973E-2,1.299158864E-1
2.432559375E0,-1.624052088E-1,7.625257088E-2,2.955825984E-2,1.818339823E-1
2.442487375E0,-1.109576322E-1,1.006526638E-1,2.446767390E-2,1.517933527E-1
2.452416375E0,-1.338851221E-1,7.855279243E-2,1.593249321E-2,1.560436203E-1
2.462344375E0,-1.216024700E-1,1.217514187E-1,6.644775867E-3,1.722054636E-1
2.472272375E0,-1.113178937E-1,7.469507363E-2,4.316648483E-2,1.408345586E-1
2.482201375E0,-1.487944439E-1,1.028114192E-1,3.790749907E-3,1.808987127E-1
2.492129375E0,-8.124474088E-2,9.882619458E-2,1.980802774E-2,1.294591929E-1
2.502058375E0,-1.666344998E-1,9.338410875E-2,1.830529332E-2,1.918925013E-1
2.511986375E0,-1.011983369E-1,9.452729423E-2,9.918047190E-3,1.388340030E-1
2.521915375E0,-1.391288320E-1,7.660305664E-2,1.485309720E-2,1.595163774E-1
2.531843375E0,-1.173241719E-1,1.111741710E-1,-2.661769509E-2,1.638083005E-1
