"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.176542500E0,-2.900675046E-1,-2.992270035E-1,3.135715574E-1,5.215391438E-1
1.186471500E0,-2.737735439E-1,-8.206377134E-2,2.487352914E-1,3.788873989E-1
1.196400500E0,-3.085665235E-1,-8.863677263E-2,4.353304678E-1,5.409088584E-1
1.206329750E0,-2.802214878E-1,1.042015856E-2,-5.720272601E-2,2.861901707E-1
1.216258750E0,-2.887298810E-1,-8.130370639E-2,-1.407249391E-1,3.313287572E-1
1.226187750E0,-1.935687120E-1,-1.172538683E-1,2.431272268E-3,2.263254890E-1
1.236116750E0,-3.689336896E-1,-9.708466535E-2,-2.650706577E-1,4.645427355E-1
1.246045750E0,-2.883855531E-1,3.011973873E-3,-1.728612363E-2,2.889188628E-1
1.255975750E0,-2.983900660E-1,1.121174091E-1,2.166679913E-1,3.854243938E-1
1.265904750E0,-2.609081345E-1,1.405524006E-1,-6.845195031E-1,7.459188844E-1
1.275833750E0,-3.241945230E-1,1.190566380E-1,-5.048111773E-1,6.116460549E-1
1.285762750E0,-1.776299696E-1,3.067167203E-1,-6.069567722E-1,7.028684628E-1
1.295691750E0,-2.366152924E-1,1.422113561E-1,-4.685426527E-1,5.438226584E-1
1.305620750E0,-2.539143164E-1,2.342627017E-1,-5.949565315E-1,6.879860231E-1
1.315550750E0,-2.657025225E-1,1.403649333E-1,-8.676659918E-1,9.182289574E-1
1.325479750E0,-2.044355065E-1,2.680695667E-1,5.864412314E-1,6.764380879E-1
1.335408750E0,-3.636295341E-1,3.663757885E-1,-5.303605860E-1,7.400945937E-1
1.345337750E0,-3.433743405E-1,2.648559553E-1,-2.061002600E0,2.106130654E0
1.355266750E0,-3.492605132E-1,4.307590050E-1,-6.483176368E-1,8.531424176E-1
1.365196750E0,-2.202876005E-1,4.938952296E-1,9.491317391E-2,5.490606846E-1
1.375125750E0,-2.401422598E-1,4.233308484E-1,-2.310758815E0,2.361457942E0
1.385054750E0,-6.750742764E-1,2.433235288E-1,1.016134983E-1,7.247461082E-1
1.394983750E0,2.785253202E-1,4.430383406E-1,1.341883367E-1,5.402460874E-1
1.404912750E0,-4.913722292E-1,2.454008984E-1,-2.044573678E0,2.117061594E0
1.414841750E0,-3.407981669E-1,2.716444630E-1,4.426225305E-1,6.211672958E-1
1.424771750E0,1.106220111E-1,4.699123995E-1,-7.762418514E-1,9.141150390E-1
1.434700750E0,-6.393200876E-1,1.180505697E-1,-8.101843536E-2,6.551565449E-1
