"Time (s)","Recording (a.u.)"
4.291666667E-3,-5.788688431E-4
4.312500000E-3,-1.325671328E-3
4.333333333E-3,-2.018424682E-3
4.354166667E-3,-2.378914971E-3
4.375000000E-3,-2.349753864E-3
4.395833333E-3,-2.194128931E-3
4.416666667E-3,-2.034431789E-3
4.437500000E-3,-1.590289408E-3
4.458333333E-3,-6.330675678E-4
4.479166667E-3,4.845984513E-4
4.500000000E-3,1.121080131E-3
4.520833333E-3,9.749344899E-4
4.541666667E-3,8.645162452E-4
4.562500000E-3,1.205041073E-3
4.583333333E-3,1.477488317E-3
4.604166667E-3,1.976351021E-3
4.625000000E-3,2.597462619E-3
4.645833333E-3,3.084323369E-3
4.666666667E-3,3.276123200E-3
4.687500000E-3,3.256222699E-3
4.708333333E-3,3.580812365E-3
4.729166667E-3,3.409115132E-3
4.750000000E-3,3.001789795E-3
4.770833333E-3,2.861345420E-3
4.791666667E-3,2.099962905E-3
4.812500000E-3,1.707730349E-3
4.833333333E-3,1.836368931E-3
4.854166667E-3,1.720871311E-3
4.875000000E-3,1.930105966E-3
4.895833333E-3,2.297109691E-3
4.916666667E-3,2.594924532E-3
4.937500000E-3,3.127354896E-3
4.958333333E-3,3.943856806E-3
4.979166667E-3,4.423996434E-3
5.000000000E-3,4.797818605E-3
5.020833333E-3,5.371413194E-3
5.041666667E-3,5.491055548E-3
5.062500000E-3,5.979386624E-3
5.083333333E-3,6.950359792E-3
5.104166667E-3,7.649402134E-3
5.125000000E-3,8.133451454E-3
5.145833333E-3,8.529256098E-3
5.166666667E-3,9.047613479E-3
5.187500000E-3,9.430229664E-3
5.208333333E-3,9.677581489E-3
5.229166667E-3,9.745378979E-3
5.250000000E-3,9.600558318E-3
5.270833333E-3,9.688994847E-3
5.291666667E-3,1.002746355E-2
5.312500000E-3,1.039986312E-2
5.333333333E-3,1.076631714E-2
5.354166667E-3,1.151808351E-2
5.375000000E-3,1.244632248E-2
5.395833333E-3,1.315692626E-2
5.416666667E-3,1.400699839E-2
5.437500000E-3,1.473019365E-2
5.458333333E-3,1.523409225E-2
5.479166667E-3,1.618859544E-2
5.500000000E-3,1.726796478E-2
5.520833333E-3,1.787123643E-2
5.541666667E-3,1.849882677E-2
5.562500000E-3,1.931818388E-2
5.583333333E-3,2.021492645E-2
5.604166667E-3,2.138710953E-2
5.625000000E-3,2.236570045E-2
