"Frequency (Hz)","Absolute Amplitude (a.u.)"
5.789062500E3,9.187638870E-2
5.812500000E3,6.813714910E-2
5.835937500E3,1.024615166E-1
5.859375000E3,9.862518513E-2
5.882812500E3,4.317733629E-2
5.906250000E3,7.220342489E-2
5.929687500E3,7.537223453E-2
5.953125000E3,5.802913347E-2
5.976562500E3,6.309619812E-2
6.000000000E3,7.210975059E-2
6.023437500E3,2.120845901E-2
6.046875000E3,2.874869959E-2
6.070312500E3,3.815688270E-2
6.093750000E3,3.301757700E-2
6.117187500E3,2.598464360E-2
6.140625000E3,6.183466386E-2
6.164062500E3,9.187215126E-2
6.187500000E3,9.490694389E-2
6.210937500E3,9.996003526E-2
6.234375000E3,7.156730500E-2
6.257812500E3,6.196898807E-2
6.281250000E3,3.322246583E-2
6.304687500E3,3.462250558E-2
6.328125000E3,1.429761800E-2
6.351562500E3,8.473676115E-3
6.375000000E3,1.481641490E-2
6.398437500E3,2.934897975E-2
6.421875000E3,4.748138337E-2
6.445312500E3,3.073609231E-2
6.468750000E3,3.387788058E-2
6.492187500E3,1.691602748E-2
6.515625000E3,2.368801138E-2
6.539062500E3,2.618063699E-2
6.562500000E3,2.482096891E-2
6.585937500E3,3.548855389E-3
6.609375000E3,2.939711486E-2
6.632812500E3,5.167378530E-2
6.656250000E3,4.674948746E-2
6.679687500E3,1.895696032E-2
6.703125000E3,3.209727941E-2
6.726562500E3,3.659485056E-2
6.750000000E3,5.537064467E-2
6.773437500E3,3.565409447E-2
6.796875000E3,2.987876894E-2
6.820312500E3,2.752022513E-2
6.843750000E3,5.086299753E-2
6.867187500E3,7.156339725E-2
6.890625000E3,9.680336819E-2
6.914062500E3,7.104982960E-2
6.937500000E3,1.211480732E-1
6.960937500E3,1.286626574E-1
6.984375000E3,8.457319231E-2
7.007812500E3,8.096691660E-2
7.031250000E3,4.326573316E-2
7.054687500E3,3.734177745E-2
7.078125000E3,3.633010494E-2
7.101562500E3,3.270608837E-2
7.125000000E3,3.384247573E-2
7.148437500E3,1.656913570E-2
7.171875000E3,2.479123191E-2
7.195312500E3,1.212064792E-2
7.218750000E3,2.256738751E-2
7.242187500E3,2.541185673E-2
7.265625000E3,1.765806001E-2
7.289062500E3,4.071559953E-2
7.312500000E3,2.369580519E-2
7.335937500E3,2.672114398E-2
7.359375000E3,1.474316755E-2
7.382812500E3,6.831140879E-3
7.406250000E3,2.518137280E-2
7.429687500E3,1.841396103E-2
7.453125000E3,2.177574744E-2
7.476562500E3,2.525244949E-2
7.500000000E3,2.713848959E-2
7.523437500E3,1.654959970E-2
7.546875000E3,4.135067181E-2
7.570312500E3,3.795108441E-2
7.593750000E3,3.472869146E-2
7.617187500E3,2.237889413E-2
7.640625000E3,3.504141969E-2
7.664062500E3,2.005565163E-2
7.687500000E3,1.485467714E-2
7.710937500E3,2.556209733E-2
7.734375000E3,3.515574711E-2
7.757812500E3,2.746290437E-2
7.781250000E3,1.951071589E-2
7.804687500E3,2.318133144E-2
7.828125000E3,2.041118211E-2
7.851562500E3,1.751257277E-2
7.875000000E3,1.235350860E-2
7.898437500E3,1.893286018E-2
7.921875000E3,1.553154596E-2
7.945312500E3,1.632282612E-2
7.968750000E3,6.193018241E-3
7.992187500E3,1.975833386E-2
8.015625000E3,2.076886580E-2
8.039062500E3,2.364442337E-2
8.062500000E3,2.010102600E-2
8.085937500E3,2.611958466E-2
8.109375000E3,3.876351415E-2
8.132812500E3,3.732034662E-2
8.156250000E3,9.142433105E-3
8.179687500E3,2.269396736E-2
8.203125000E3,2.472312224E-2
8.226562500E3,1.133814296E-2
8.250000000E3,7.011707296E-3
8.273437500E3,8.295587133E-3
8.296875000E3,1.336389100E-2
8.320312500E3,2.924601116E-2
8.343750000E3,2.406174370E-2
8.367187500E3,1.507175139E-2
8.390625000E3,2.085268150E-2
8.414062500E3,3.973289602E-3
8.437500000E3,1.431455377E-2
8.460937500E3,3.132326392E-2
8.484375000E3,3.749191947E-2
8.507812500E3,1.942738419E-2
8.531250000E3,1.613924781E-2
8.554687500E3,2.680617863E-2
8.578125000E3,1.895070442E-2
8.601562500E3,1.152505508E-2
8.625000000E3,1.783350609E-2
8.648437500E3,2.105603389E-2
8.671875000E3,3.009319052E-2
8.695312500E3,1.904502664E-2
8.718750000E3,1.471509068E-2
8.742187500E3,1.547542870E-2
8.765625000E3,1.417535838E-2
8.789062500E3,1.841144176E-2
8.812500000E3,2.712116644E-2
8.835937500E3,3.537126815E-2
8.859375000E3,3.764168332E-2
8.882812500E3,2.417441876E-2
8.906250000E3,2.344393387E-2
8.929687500E3,3.194709925E-2
8.953125000E3,2.746304729E-2
8.976562500E3,2.057254661E-2
9.000000000E3,1.933966113E-2
9.023437500E3,2.257855442E-2
9.046875000E3,8.518294202E-3
9.070312500E3,8.691430899E-3
9.093750000E3,1.345850794E-2
9.117187500E3,1.260675444E-2
9.140625000E3,1.863899718E-2
9.164062500E3,1.356799165E-2
9.187500000E3,1.496389120E-2
9.210937500E3,1.429129032E-2
9.234375000E3,1.131596396E-2
9.257812500E3,1.869133993E-2
9.281250000E3,1.975263949E-2
9.304687500E3,2.679684140E-2
9.328125000E3,1.853358369E-2
9.351562500E3,1.221997016E-2
9.375000000E3,1.327185098E-2
9.398437500E3,8.779315625E-3
9.421875000E3,4.374848999E-3
9.445312500E3,1.261330544E-2
9.468750000E3,1.831119514E-2
9.492187500E3,1.541830965E-2
9.515625000E3,1.913865511E-2
9.539062500E3,1.642178196E-2
9.562500000E3,2.054723885E-2
9.585937500E3,1.352809534E-2
9.609375000E3,1.926579348E-2
9.632812500E3,1.013593885E-2
9.656250000E3,9.735871478E-3
9.679687500E3,9.215794164E-3
9.703125000E3,1.321170683E-2
9.726562500E3,7.569404204E-3
9.750000000E3,1.883247403E-2
9.773437500E3,2.023865835E-2
9.796875000E3,1.762968141E-2
9.820312500E3,8.249924203E-3
9.843750000E3,9.748938073E-3
9.867187500E3,1.421468069E-2
9.890625000E3,7.142050710E-3
9.914062500E3,1.810813627E-2
9.937500000E3,1.554166515E-2
9.960937500E3,1.273537644E-2
9.984375000E3,1.691120958E-2
1.000781250E4,1.162240566E-2
1.003125000E4,4.918779621E-3
1.005468750E4,8.481540474E-3
1.007812500E4,4.768743716E-3
1.010156250E4,1.335735612E-2
1.012500000E4,1.101718941E-2
1.014843750E4,2.131222676E-2
1.017187500E4,1.208087683E-2
1.019531250E4,1.207595808E-2
1.021875000E4,2.133658824E-2
1.024218750E4,1.354165097E-2
1.026562500E4,1.600298731E-2
1.028906250E4,1.969608855E-2
1.031250000E4,1.814235199E-2
1.033593750E4,1.889447156E-2
1.035937500E4,1.413270803E-2
1.038281250E4,1.095181993E-2
1.040625000E4,1.281755812E-2
1.042968750E4,1.166968923E-2
1.045312500E4,1.635098134E-2
1.047656250E4,1.370833655E-2
1.050000000E4,2.216712103E-2
1.052343750E4,1.384244009E-2
1.054687500E4,1.922035872E-2
1.057031250E4,2.585729969E-2
1.059375000E4,1.637259765E-2
