"Time (s)","Peak-Frequency"
1.338346996E1,2.109375000E2
1.342613662E1,7.031250000E1
1.346880329E1,2.578125000E2
1.351146996E1,2.109375000E2
1.355413662E1,2.109375000E2
1.359680329E1,1.406250000E2
1.363946996E1,2.343750000E1
1.368213662E1,2.578125000E2
1.372480329E1,1.875000000E2
1.376746996E1,2.343750000E1
1.381013662E1,3.046875000E2
1.385280329E1,7.031250000E1
1.389546996E1,2.343750000E1
1.393813662E1,2.109375000E2
1.398080329E1,2.343750000E1
1.402346996E1,2.343750000E1
1.406613662E1,3.046875000E2
1.410880329E1,2.343750000E1
1.415146996E1,2.578125000E2
1.419413662E1,7.031250000E1
1.423680329E1,1.640625000E2
1.427946996E1,4.687500000E1
1.432213662E1,3.515625000E2
1.436480329E1,6.093750000E2
1.440746996E1,6.093750000E2
1.445013662E1,6.093750000E2
1.449280329E1,6.093750000E2
1.453546996E1,6.093750000E2
1.457813662E1,6.093750000E2
1.462080329E1,6.093750000E2
1.466346996E1,6.093750000E2
1.470613662E1,6.093750000E2
1.474880329E1,4.921875000E2
1.479146996E1,4.921875000E2
1.483413662E1,4.921875000E2
1.487680329E1,5.156250000E2
1.491946996E1,5.156250000E2
1.496213662E1,5.156250000E2
1.500480329E1,5.156250000E2
1.504746996E1,5.156250000E2
1.509013662E1,5.156250000E2
1.513280329E1,5.156250000E2
1.517546996E1,5.156250000E2
1.521813662E1,4.921875000E2
1.526080329E1,5.156250000E2
1.530346996E1,2.578125000E2
1.534613662E1,1.875000000E2
1.538880329E1,2.343750000E1
1.543146996E1,2.578125000E2
1.547413662E1,2.343750000E1
1.551680329E1,2.343750000E1
1.555946996E1,2.343750000E1
1.560213662E1,2.578125000E2
1.564480329E1,2.109375000E2
1.568746996E1,4.687500000E1
1.573013662E1,7.265625000E2
1.577280329E1,2.343750000E1
1.581546996E1,2.343750000E1
1.585813662E1,3.281250000E2
1.590080329E1,7.031250000E1
1.594346996E1,7.265625000E2
1.598613662E1,7.265625000E2
1.602880329E1,1.640625000E2
1.607146996E1,2.343750000E2
1.611413662E1,2.578125000E2
1.615680329E1,1.875000000E2
1.619946996E1,7.031250000E2
1.624213662E1,7.031250000E2
1.628480329E1,7.031250000E2
1.632746996E1,2.343750000E1
1.637013662E1,2.812500000E2
1.641280329E1,1.171875000E2
1.645546996E1,2.343750000E1
1.649813662E1,2.343750000E1
1.654080329E1,3.984375000E2
1.658346996E1,3.281250000E2
1.662613662E1,2.578125000E2
1.666880329E1,2.578125000E2
1.671146996E1,2.109375000E2
1.675413662E1,4.687500000E1
1.679680329E1,7.031250000E1
1.683946996E1,2.343750000E1
1.688213662E1,4.687500000E1
1.692480329E1,2.343750000E1
1.696746996E1,2.812500000E2
1.701013662E1,4.687500000E1
1.705280329E1,2.812500000E2
1.709546996E1,9.375000000E1
1.713813662E1,2.343750000E2
1.718080329E1,2.343750000E1
1.722346996E1,2.109375000E2
1.726613662E1,6.562500000E2
1.730880329E1,2.578125000E2
1.735146996E1,3.515625000E2
1.739413662E1,7.265625000E2
1.743680329E1,1.640625000E2
1.747946996E1,1.875000000E2
1.752213662E1,2.578125000E2
1.756480329E1,7.265625000E2
1.760746996E1,2.109375000E2
1.765013662E1,2.343750000E2
1.769280329E1,1.406250000E2
1.773546996E1,2.578125000E2
1.777813662E1,4.687500000E1
1.782080329E1,3.984375000E2
1.786346996E1,2.578125000E2
1.790613662E1,2.578125000E2
1.794880329E1,4.687500000E1
1.799146996E1,2.343750000E1
1.803413662E1,2.812500000E2
1.807680329E1,2.109375000E2
1.811946996E1,2.343750000E1
1.816213662E1,2.109375000E2
1.820480329E1,4.687500000E1
1.824746996E1,2.109375000E2
1.829013662E1,2.343750000E1
1.833280329E1,2.109375000E2
1.837546996E1,2.109375000E2
1.841813662E1,2.343750000E1
1.846080329E1,2.343750000E1
1.850346996E1,4.687500000E1
1.854613662E1,2.343750000E2
1.858880329E1,3.046875000E2
1.863146996E1,3.046875000E2
1.867413662E1,2.109375000E2
1.871680329E1,2.343750000E1
1.875946996E1,7.031250000E1
1.880213662E1,2.343750000E1
1.884480329E1,2.343750000E1
1.888746996E1,4.687500000E1
1.893013662E1,1.875000000E2
1.897280329E1,2.578125000E2
1.901546996E1,2.343750000E1
1.905813662E1,1.875000000E2
1.910080329E1,4.687500000E1
1.914346996E1,2.343750000E1
1.918613662E1,2.343750000E1
1.922880329E1,2.343750000E1
1.927146996E1,2.343750000E1
1.931413662E1,2.578125000E2
1.935680329E1,4.687500000E1
1.939946996E1,2.343750000E1
1.944213662E1,2.343750000E1
1.948480329E1,2.343750000E1
1.952746996E1,2.343750000E1
1.957013662E1,2.578125000E2
1.961280329E1,2.343750000E1
1.965546996E1,2.343750000E1
1.969813662E1,4.687500000E1
1.974080329E1,2.109375000E2
1.978346996E1,4.687500000E1
1.982613662E1,2.109375000E2
1.986880329E1,2.343750000E1
1.991146996E1,3.046875000E2
1.995413662E1,2.578125000E2
1.999680329E1,2.109375000E2
2.003946996E1,3.046875000E2
2.008213662E1,4.687500000E1
2.012480329E1,1.875000000E2
2.016746996E1,2.109375000E2
2.021013662E1,4.687500000E1
2.025280329E1,2.109375000E2
2.029546996E1,2.343750000E2
2.033813662E1,2.578125000E2
2.038080329E1,2.578125000E2
2.042346996E1,2.343750000E2
2.046613662E1,1.875000000E2
2.050880329E1,2.343750000E1
2.055146996E1,2.343750000E1
2.059413662E1,3.046875000E2
2.063680329E1,7.031250000E1
2.067946996E1,1.406250000E2
2.072213662E1,1.875000000E2
2.076480329E1,2.109375000E2
2.080746996E1,1.875000000E2
2.085013662E1,2.343750000E1
2.089280329E1,1.875000000E2
2.093546996E1,4.687500000E1
2.097813662E1,1.875000000E2
2.102080329E1,1.171875000E2
2.106346996E1,1.875000000E2
2.110613662E1,2.109375000E2
2.114880329E1,1.875000000E2
2.119146996E1,2.578125000E2
2.123413662E1,2.578125000E2
2.127680329E1,1.406250000E2
2.131946996E1,2.109375000E2
2.136213662E1,2.343750000E2
2.140480329E1,2.109375000E2
2.144746996E1,2.343750000E2
2.149013662E1,2.343750000E2
2.153280329E1,4.687500000E1
2.157546996E1,1.406250000E2
2.161813662E1,3.046875000E2
2.166080329E1,2.343750000E2
2.170346996E1,4.687500000E1
2.174613662E1,2.343750000E2
2.178880329E1,1.875000000E2
2.183146996E1,2.109375000E2
2.187413662E1,2.109375000E2
2.191680329E1,2.109375000E2
2.195946996E1,2.109375000E2
2.200213662E1,2.109375000E2
2.204480329E1,2.343750000E2
2.208746996E1,4.687500000E1
2.213013662E1,4.687500000E1
2.217280329E1,2.343750000E2
2.221546996E1,4.687500000E1
2.225813662E1,1.875000000E2
2.230080329E1,2.109375000E2
2.234346996E1,4.687500000E1
2.238613662E1,1.875000000E2
2.242880329E1,7.031250000E1
2.247146996E1,2.812500000E2
2.251413662E1,2.109375000E2
2.255680329E1,4.687500000E1
2.259946996E1,1.640625000E2
2.264213662E1,4.687500000E1
2.268480329E1,1.875000000E2
2.272746996E1,2.109375000E2
2.277013662E1,2.109375000E2
2.281280329E1,2.343750000E1
2.285546996E1,2.343750000E1
2.289813662E1,2.343750000E1
2.294080329E1,2.578125000E2
2.298346996E1,4.687500000E1
2.302613662E1,2.343750000E2
2.306880329E1,3.046875000E2
2.311146996E1,4.687500000E1
2.315413662E1,4.687500000E1
2.319680329E1,2.343750000E1
2.323946996E1,3.046875000E2
2.328213662E1,7.265625000E2
2.332480329E1,2.343750000E1
2.336746996E1,2.109375000E2
2.341013662E1,2.109375000E2
2.345280329E1,2.578125000E2
2.349546996E1,4.687500000E1
2.353813662E1,2.343750000E1
2.358080329E1,2.343750000E1
2.362346996E1,1.875000000E2
2.366613662E1,2.109375000E2
2.370880329E1,1.875000000E2
2.375146996E1,9.375000000E1
2.379413662E1,2.578125000E2
2.383680329E1,2.109375000E2
2.387946996E1,2.343750000E1
2.392213662E1,2.578125000E2
2.396480329E1,2.343750000E2
2.400746996E1,2.578125000E2
2.405013662E1,2.343750000E1
2.409280329E1,2.343750000E1
2.413546996E1,2.343750000E2
2.417813662E1,2.109375000E2
2.422080329E1,7.031250000E1
2.426346996E1,4.921875000E2
2.430613662E1,4.687500000E1
2.434880329E1,4.687500000E1
2.439146996E1,2.109375000E2
2.443413662E1,3.281250000E2
2.447680329E1,4.687500000E1
2.451946996E1,1.875000000E2
2.456213662E1,4.921875000E2
2.460480329E1,2.109375000E2
2.464746996E1,2.578125000E2
2.469013662E1,2.109375000E2
2.473280329E1,2.109375000E2
2.477546996E1,4.687500000E1
2.481813662E1,2.812500000E2
2.486080329E1,2.343750000E2
2.490346996E1,5.156250000E2
2.494613662E1,5.156250000E2
2.498880329E1,3.046875000E2
2.503146996E1,3.046875000E2
2.507413662E1,3.281250000E2
2.511680329E1,4.453125000E2
2.515946996E1,3.750000000E2
2.520213662E1,4.453125000E2
2.524480329E1,2.109375000E2
2.528746996E1,4.218750000E2
2.533013662E1,1.875000000E2
2.537280329E1,3.984375000E2
2.541546996E1,2.578125000E2
2.545813662E1,3.046875000E2
2.550080329E1,3.046875000E2
2.554346996E1,2.109375000E2
2.558613662E1,4.687500000E1
2.562880329E1,4.687500000E1
2.567146996E1,7.031250000E1
2.571413662E1,2.343750000E1
2.575680329E1,4.687500000E1
2.579946996E1,2.578125000E2
2.584213662E1,2.343750000E1
2.588480329E1,3.984375000E2
2.592746996E1,2.109375000E2
2.597013662E1,2.109375000E2
2.601280329E1,7.031250000E1
2.605546996E1,2.109375000E2
2.609813662E1,3.515625000E2
2.614080329E1,7.265625000E2
2.618346996E1,5.390625000E2
2.622613662E1,5.390625000E2
2.626880329E1,2.578125000E2
2.631146996E1,2.343750000E1
2.635413662E1,2.578125000E2
2.639680329E1,2.578125000E2
2.643946996E1,2.578125000E2
2.648213662E1,6.093750000E2
2.652480329E1,2.343750000E2
2.656746996E1,2.343750000E1
2.661013662E1,2.343750000E1
2.665280329E1,4.687500000E1
2.669546996E1,4.921875000E2
2.673813662E1,7.500000000E2
2.678080329E1,7.500000000E2
2.682346996E1,7.500000000E2
2.686613662E1,6.328125000E2
2.690880329E1,2.343750000E1
2.695146996E1,2.343750000E1
2.699413662E1,2.343750000E1
2.703680329E1,4.218750000E2
2.707946996E1,2.343750000E1
2.712213662E1,2.343750000E1
2.716480329E1,4.687500000E1
2.720746996E1,2.343750000E1
2.725013662E1,2.343750000E1
2.729280329E1,4.687500000E1
2.733546996E1,2.343750000E1
