"Time (s)","Recording (a.u.)"
9.520833333E-3,2.858108375E-3
9.541666667E-3,2.325376961E-3
9.562500000E-3,1.995779341E-3
9.583333333E-3,1.476883655E-3
9.604166667E-3,7.994460175E-4
9.625000000E-3,8.025193529E-5
9.645833333E-3,-1.114946208E-3
9.666666667E-3,-1.990028890E-3
9.687500000E-3,-2.215415705E-3
9.708333333E-3,-2.419672674E-3
9.729166667E-3,-2.275238279E-3
9.750000000E-3,-1.740684733E-3
9.770833333E-3,-1.324284705E-3
9.791666667E-3,-1.033365144E-3
9.812500000E-3,-7.515068864E-4
9.833333333E-3,-6.808355683E-4
9.854166667E-3,-8.098100079E-4
9.875000000E-3,-7.549317088E-4
9.895833333E-3,-6.415602402E-4
9.916666667E-3,-7.410104154E-4
9.937500000E-3,-5.602317397E-4
9.958333333E-3,-8.397936472E-5
9.979166667E-3,3.450501827E-4
1.000000000E-2,1.183204819E-3
1.002083333E-2,2.432438545E-3
1.004166667E-2,3.756585298E-3
1.006250000E-2,5.282895640E-3
1.008333333E-2,7.186675444E-3
1.010416667E-2,9.129862301E-3
1.012500000E-2,1.067273784E-2
1.014583333E-2,1.196515840E-2
1.016666667E-2,1.292303763E-2
1.018750000E-2,1.376612671E-2
1.020833333E-2,1.492920332E-2
1.022916667E-2,1.638993062E-2
1.025000000E-2,1.799057797E-2
1.027083333E-2,1.956546679E-2
1.029166667E-2,2.105104551E-2
1.031250000E-2,2.196906693E-2
1.033333333E-2,2.252540737E-2
1.035416667E-2,2.293097414E-2
1.037500000E-2,2.277265303E-2
1.039583333E-2,2.247699350E-2
1.041666667E-2,2.230196819E-2
1.043750000E-2,2.205523476E-2
1.045833333E-2,2.176077664E-2
1.047916667E-2,2.159325965E-2
1.050000000E-2,2.148198709E-2
1.052083333E-2,2.152257971E-2
1.054166667E-2,2.179209515E-2
1.056250000E-2,2.184186876E-2
1.058333333E-2,2.198475227E-2
1.060416667E-2,2.228341997E-2
1.062500000E-2,2.232181653E-2
1.064583333E-2,2.250585705E-2
1.066666667E-2,2.303154022E-2
1.068750000E-2,2.372989058E-2
1.070833333E-2,2.460277453E-2
1.072916667E-2,2.571959235E-2
1.075000000E-2,2.714845724E-2
1.077083333E-2,2.856104076E-2
1.079166667E-2,2.964127064E-2
1.081250000E-2,3.054576740E-2
1.083333333E-2,3.136808053E-2
1.085416667E-2,3.219530731E-2
1.087500000E-2,3.321270645E-2
1.089583333E-2,3.473391011E-2
1.091666667E-2,3.683935851E-2
1.093750000E-2,3.877555206E-2
1.095833333E-2,4.048550874E-2
1.097916667E-2,4.253066331E-2
1.100000000E-2,4.453536123E-2
1.102083333E-2,4.643802345E-2
1.104166667E-2,4.866261408E-2
1.106250000E-2,5.080834776E-2
1.108333333E-2,5.252248421E-2
1.110416667E-2,5.406919122E-2
1.112500000E-2,5.571949482E-2
1.114583333E-2,5.755995959E-2
1.116666667E-2,5.931490660E-2
1.118750000E-2,6.077228114E-2
1.120833333E-2,6.196931750E-2
1.122916667E-2,6.271100044E-2
1.125000000E-2,6.309924275E-2
1.127083333E-2,6.354560703E-2
1.129166667E-2,6.383630633E-2
1.131250000E-2,6.365354359E-2
1.133333333E-2,6.346495450E-2
1.135416667E-2,6.366546452E-2
1.137500000E-2,6.375433505E-2
1.139583333E-2,6.349162757E-2
1.141666667E-2,6.316444278E-2
1.143750000E-2,6.248959154E-2
1.145833333E-2,6.159358472E-2
1.147916667E-2,6.090537459E-2
1.150000000E-2,6.016696990E-2
1.152083333E-2,5.947296321E-2
1.154166667E-2,5.896085501E-2
1.156250000E-2,5.854577944E-2
1.158333333E-2,5.821017176E-2
1.160416667E-2,5.782481655E-2
1.162500000E-2,5.750569329E-2
1.164583333E-2,5.733714253E-2
1.166666667E-2,5.726713687E-2
1.168750000E-2,5.751664191E-2
1.170833333E-2,5.809145421E-2
1.172916667E-2,5.856525898E-2
1.175000000E-2,5.913708359E-2
1.177083333E-2,5.991257727E-2
1.179166667E-2,6.046404690E-2
1.181250000E-2,6.109603494E-2
1.183333333E-2,6.187096238E-2
1.185416667E-2,6.235034764E-2
1.187500000E-2,6.276981533E-2
1.189583333E-2,6.327277422E-2
1.191666667E-2,6.365743279E-2
1.193750000E-2,6.418669969E-2
1.195833333E-2,6.479532272E-2
1.197916667E-2,6.517797709E-2
1.200000000E-2,6.541597843E-2
1.202083333E-2,6.541350484E-2
1.204166667E-2,6.520117074E-2
1.206250000E-2,6.487098336E-2
1.208333333E-2,6.438032538E-2
1.210416667E-2,6.380192935E-2
1.212500000E-2,6.305788457E-2
1.214583333E-2,6.195128709E-2
1.216666667E-2,6.062049791E-2
1.218750000E-2,5.922748893E-2
1.220833333E-2,5.768469721E-2
1.222916667E-2,5.616690964E-2
1.225000000E-2,5.471171439E-2
1.227083333E-2,5.329349637E-2
1.229166667E-2,5.194532871E-2
1.231250000E-2,5.064723268E-2
1.233333333E-2,4.955424368E-2
1.235416667E-2,4.846161604E-2
1.237500000E-2,4.728882015E-2
1.239583333E-2,4.611715674E-2
1.241666667E-2,4.482181370E-2
1.243750000E-2,4.347102344E-2
1.245833333E-2,4.209714755E-2
1.247916667E-2,4.070166498E-2
1.250000000E-2,3.940648586E-2
1.252083333E-2,3.828328475E-2
1.254166667E-2,3.738906235E-2
1.256250000E-2,3.668301925E-2
