"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.024218750E4,2.192287674E-2
1.026562500E4,2.783433649E-2
1.028906250E4,2.302468439E-2
1.031250000E4,3.452602800E-2
1.033593750E4,3.579973322E-2
1.035937500E4,2.246815296E-2
1.038281250E4,2.122672254E-2
1.040625000E4,5.857903008E-2
1.042968750E4,2.378580601E-2
1.045312500E4,2.977749457E-2
1.047656250E4,2.894575796E-2
1.050000000E4,2.993839896E-2
1.052343750E4,2.343510394E-2
1.054687500E4,1.645418641E-2
1.057031250E4,2.395474861E-2
1.059375000E4,1.649416848E-2
1.061718750E4,4.605138057E-2
1.064062500E4,3.968819010E-2
1.066406250E4,3.870723387E-2
1.068750000E4,2.884900582E-2
1.071093750E4,2.200528263E-2
1.073437500E4,3.440351678E-2
1.075781250E4,2.610582536E-2
1.078125000E4,3.309619922E-2
1.080468750E4,4.537827631E-2
1.082812500E4,3.835963360E-2
1.085156250E4,3.385366149E-2
1.087500000E4,3.429502846E-2
1.089843750E4,4.225604816E-2
1.092187500E4,3.259843080E-2
1.094531250E4,3.056706880E-2
1.096875000E4,2.477050348E-2
1.099218750E4,4.623197124E-2
1.101562500E4,3.705716757E-2
1.103906250E4,2.913571474E-2
1.106250000E4,3.105989175E-2
1.108593750E4,4.224670683E-2
1.110937500E4,2.576015339E-2
1.113281250E4,3.559946012E-2
1.115625000E4,2.801277659E-2
1.117968750E4,3.592164327E-2
1.120312500E4,2.977743262E-2
1.122656250E4,3.248873957E-2
1.125000000E4,3.436325201E-2
1.127343750E4,3.415219582E-2
1.129687500E4,2.994620930E-2
1.132031250E4,2.810450970E-2
1.134375000E4,3.435486469E-2
1.136718750E4,2.705498462E-2
1.139062500E4,2.765062663E-2
1.141406250E4,1.610248640E-2
1.143750000E4,3.416636184E-2
1.146093750E4,3.375936868E-2
1.148437500E4,2.335034114E-2
1.150781250E4,1.720766687E-2
1.153125000E4,3.032020482E-2
1.155468750E4,3.059935773E-2
1.157812500E4,2.811735937E-2
1.160156250E4,3.178276340E-2
1.162500000E4,2.333426948E-2
1.164843750E4,1.908263633E-2
1.167187500E4,4.274652326E-2
1.169531250E4,2.380815383E-2
1.171875000E4,3.555470590E-2
1.174218750E4,3.171304030E-2
1.176562500E4,3.175892461E-2
1.178906250E4,3.437568353E-2
1.181250000E4,2.246987142E-2
1.183593750E4,2.499303959E-2
1.185937500E4,2.844535169E-2
1.188281250E4,3.407647150E-2
1.190625000E4,3.428925182E-2
1.192968750E4,5.004444039E-2
1.195312500E4,2.688184712E-2
1.197656250E4,2.123725769E-2
1.200000000E4,5.188093464E-2
1.202343750E4,1.935300524E-2
1.204687500E4,2.491924362E-2
1.207031250E4,3.205545794E-2
1.209375000E4,2.596505786E-2
1.211718750E4,3.299739893E-2
1.214062500E4,2.410591448E-2
1.216406250E4,9.590768313E-3
1.218750000E4,3.553707599E-2
1.221093750E4,2.022116799E-2
1.223437500E4,3.068709459E-2
1.225781250E4,2.226233825E-2
1.228125000E4,2.356060318E-2
1.230468750E4,2.807708490E-2
1.232812500E4,3.313179554E-2
1.235156250E4,3.142595028E-2
1.237500000E4,1.459967239E-2
1.239843750E4,4.156855860E-2
1.242187500E4,2.172279078E-2
1.244531250E4,3.481346981E-2
1.246875000E4,2.317903439E-2
1.249218750E4,2.884185190E-2
1.251562500E4,4.002825855E-2
1.253906250E4,3.067233266E-2
1.256250000E4,2.837861761E-2
1.258593750E4,2.360562089E-2
1.260937500E4,3.652767833E-2
1.263281250E4,2.803575093E-2
1.265625000E4,3.618853221E-2
1.267968750E4,2.497003583E-2
1.270312500E4,3.524232711E-2
