"Time (s)","Recording (a.u.)"
4.895833333E-3,4.823097028E-3
4.916666667E-3,4.629394040E-3
4.937500000E-3,4.579927307E-3
4.958333333E-3,3.894620575E-3
4.979166667E-3,3.345394973E-3
5.000000000E-3,2.887647366E-3
5.020833333E-3,2.340349834E-3
5.041666667E-3,2.179438248E-3
5.062500000E-3,2.007797593E-3
5.083333333E-3,2.293691505E-3
5.104166667E-3,2.292884514E-3
5.125000000E-3,1.759885927E-3
5.145833333E-3,1.596021582E-3
5.166666667E-3,1.263225335E-3
5.187500000E-3,7.730885991E-4
5.208333333E-3,7.889670669E-4
5.229166667E-3,6.657958729E-4
5.250000000E-3,1.870989072E-4
5.270833333E-3,1.571027824E-4
5.291666667E-3,-3.066246863E-4
5.312500000E-3,-1.017933944E-3
5.333333333E-3,-1.784970285E-3
5.354166667E-3,-3.085175529E-3
5.375000000E-3,-4.133846611E-3
5.395833333E-3,-5.010361783E-3
5.416666667E-3,-5.281283520E-3
5.437500000E-3,-5.263306201E-3
5.458333333E-3,-5.338249728E-3
5.479166667E-3,-5.874333903E-3
5.500000000E-3,-6.910476834E-3
5.520833333E-3,-7.318151649E-3
5.541666667E-3,-7.947074249E-3
5.562500000E-3,-8.183780126E-3
5.583333333E-3,-7.807848044E-3
5.604166667E-3,-7.388793863E-3
5.625000000E-3,-6.368714850E-3
5.645833333E-3,-5.986041855E-3
5.666666667E-3,-6.117724814E-3
5.687500000E-3,-5.903178826E-3
5.708333333E-3,-4.959610756E-3
5.729166667E-3,-3.861543722E-3
5.750000000E-3,-3.924808465E-3
5.770833333E-3,-4.076279700E-3
5.791666667E-3,-4.383456428E-3
5.812500000E-3,-5.294124130E-3
5.833333333E-3,-5.595786497E-3
5.854166667E-3,-5.755673163E-3
5.875000000E-3,-6.362448446E-3
5.895833333E-3,-6.797686219E-3
5.916666667E-3,-7.073318586E-3
5.937500000E-3,-7.763881236E-3
5.958333333E-3,-8.021473885E-3
5.979166667E-3,-7.943417877E-3
6.000000000E-3,-8.747718297E-3
6.020833333E-3,-9.474407881E-3
6.041666667E-3,-9.512828663E-3
6.062500000E-3,-9.166612290E-3
6.083333333E-3,-9.518419392E-3
6.104166667E-3,-9.673588909E-3
6.125000000E-3,-8.875072934E-3
6.145833333E-3,-9.442143142E-3
6.166666667E-3,-1.016463246E-2
6.187500000E-3,-1.065723598E-2
6.208333333E-3,-1.145387720E-2
6.229166667E-3,-1.179129444E-2
6.250000000E-3,-1.230763644E-2
6.270833333E-3,-1.239222847E-2
6.291666667E-3,-1.253563352E-2
6.312500000E-3,-1.264523249E-2
6.333333333E-3,-1.290210523E-2
6.354166667E-3,-1.391307637E-2
6.375000000E-3,-1.425493415E-2
6.395833333E-3,-1.445431821E-2
6.416666667E-3,-1.468315348E-2
6.437500000E-3,-1.417617220E-2
6.458333333E-3,-1.346088573E-2
6.479166667E-3,-1.284532249E-2
6.500000000E-3,-1.152294874E-2
6.520833333E-3,-1.004195120E-2
6.541666667E-3,-9.008608758E-3
6.562500000E-3,-7.209764794E-3
6.583333333E-3,-5.590806715E-3
6.604166667E-3,-4.743008874E-3
6.625000000E-3,-4.151214845E-3
6.645833333E-3,-3.632355481E-3
6.666666667E-3,-2.826405689E-3
6.687500000E-3,-2.475007903E-3
6.708333333E-3,-1.912312582E-3
6.729166667E-3,-1.030133921E-3
6.750000000E-3,-4.552505852E-4
6.770833333E-3,8.615477418E-5
6.791666667E-3,4.296551924E-4
6.812500000E-3,1.106875716E-3
6.833333333E-3,1.647589030E-3
6.854166667E-3,2.092975657E-3
6.875000000E-3,2.596181352E-3
6.895833333E-3,2.533030231E-3
6.916666667E-3,2.549314406E-3
6.937500000E-3,2.640185412E-3
6.958333333E-3,2.932700329E-3
6.979166667E-3,3.039814066E-3
7.000000000E-3,2.712460700E-3
7.020833333E-3,2.013134304E-3
7.041666667E-3,9.926739149E-4
7.062500000E-3,6.629249547E-4
7.083333333E-3,3.129657707E-4
7.104166667E-3,-2.556233085E-5
7.125000000E-3,-9.071396198E-5
7.145833333E-3,-7.236588863E-5
7.166666667E-3,5.179360160E-4
7.187500000E-3,3.764599096E-4
7.208333333E-3,-8.186738705E-5
7.229166667E-3,2.667995286E-4
7.250000000E-3,5.078122485E-4
7.270833333E-3,7.032222929E-4
7.291666667E-3,7.393418346E-4
7.312500000E-3,2.025408758E-4
7.333333333E-3,-3.511391405E-4
7.354166667E-3,-4.703471204E-4
7.375000000E-3,-2.301110362E-4
7.395833333E-3,-2.060906845E-4
7.416666667E-3,-2.343751403E-4
7.437500000E-3,-3.112844133E-4
7.458333333E-3,-6.089670351E-4
7.479166667E-3,-7.048500702E-4
7.500000000E-3,-1.013138331E-3
7.520833333E-3,-1.011005603E-3
7.541666667E-3,-7.488702540E-4
7.562500000E-3,-9.467249038E-4
7.583333333E-3,-1.024857629E-3
7.604166667E-3,-1.356119523E-3
7.625000000E-3,-1.473045442E-3
7.645833333E-3,-1.357622910E-3
7.666666667E-3,-2.010032069E-3
7.687500000E-3,-2.405023435E-3
7.708333333E-3,-2.347030444E-3
7.729166667E-3,-2.612304641E-3
7.750000000E-3,-2.627325477E-3
7.770833333E-3,-1.845157240E-3
7.791666667E-3,-1.558904652E-3
7.812500000E-3,-2.100739162E-3
7.833333333E-3,-1.832676586E-3
7.854166667E-3,-1.745654154E-3
7.875000000E-3,-2.370367292E-3
7.895833333E-3,-2.650972921E-3
7.916666667E-3,-3.664487973E-3
7.937500000E-3,-4.978830926E-3
7.958333333E-3,-5.426203366E-3
7.979166667E-3,-5.330659915E-3
8.000000000E-3,-5.162693560E-3
8.020833333E-3,-5.135460757E-3
8.041666667E-3,-5.138942041E-3
8.062500000E-3,-5.138599314E-3
8.083333333E-3,-4.784006625E-3
8.104166667E-3,-4.572602920E-3
8.125000000E-3,-4.482832737E-3
8.145833333E-3,-4.105594940E-3
8.166666667E-3,-4.052965902E-3
8.187500000E-3,-3.896261798E-3
8.208333333E-3,-3.536134725E-3
8.229166667E-3,-3.314830596E-3
8.250000000E-3,-3.130993806E-3
8.270833333E-3,-3.430310171E-3
8.291666667E-3,-4.348495975E-3
8.312500000E-3,-4.774802364E-3
8.333333333E-3,-4.660079256E-3
8.354166667E-3,-4.736437928E-3
8.375000000E-3,-4.541032016E-3
8.395833333E-3,-4.678113386E-3
8.416666667E-3,-4.691711627E-3
8.437500000E-3,-4.338393454E-3
8.458333333E-3,-4.535462242E-3
8.479166667E-3,-4.598058295E-3
8.500000000E-3,-4.670319147E-3
8.520833333E-3,-4.383177031E-3
8.541666667E-3,-3.789642360E-3
8.562500000E-3,-3.267291002E-3
8.583333333E-3,-2.916354919E-3
8.604166667E-3,-3.341924399E-3
8.625000000E-3,-3.312890651E-3
8.645833333E-3,-2.940754406E-3
8.666666667E-3,-2.818054520E-3
8.687500000E-3,-3.004803322E-3
8.708333333E-3,-2.951490460E-3
8.729166667E-3,-1.876547001E-3
8.750000000E-3,-1.217916491E-3
8.770833333E-3,-5.385496188E-4
8.791666667E-3,4.330676165E-5
8.812500000E-3,2.389220754E-4
8.833333333E-3,1.490952913E-3
8.854166667E-3,2.818222623E-3
8.875000000E-3,3.775335383E-3
8.895833333E-3,4.107052460E-3
8.916666667E-3,3.931603860E-3
8.937500000E-3,3.974398598E-3
8.958333333E-3,3.450813470E-3
8.979166667E-3,3.071646672E-3
9.000000000E-3,3.404636402E-3
9.020833333E-3,4.040376749E-3
9.041666667E-3,4.618438892E-3
9.062500000E-3,4.910503514E-3
9.083333333E-3,5.341493990E-3
9.104166667E-3,5.412840284E-3
9.125000000E-3,5.175895989E-3
9.145833333E-3,5.168919452E-3
9.166666667E-3,5.241761915E-3
9.187500000E-3,4.988826811E-3
9.208333333E-3,4.388706293E-3
9.229166667E-3,4.262172617E-3
9.250000000E-3,4.667731002E-3
9.270833333E-3,5.097341724E-3
9.291666667E-3,5.321773700E-3
9.312500000E-3,5.787600763E-3
9.333333333E-3,6.285429001E-3
9.354166667E-3,6.015604362E-3
9.375000000E-3,5.453348160E-3
9.395833333E-3,4.946295638E-3
9.416666667E-3,4.858094268E-3
9.437500000E-3,5.011306610E-3
9.458333333E-3,4.501257092E-3
9.479166667E-3,4.298993386E-3
9.500000000E-3,4.481079057E-3
9.520833333E-3,4.007441457E-3
9.541666667E-3,3.742990550E-3
9.562500000E-3,3.494563513E-3
9.583333333E-3,3.152556252E-3
9.604166667E-3,3.060484305E-3
9.625000000E-3,2.294628415E-3
9.645833333E-3,1.343182172E-3
9.666666667E-3,7.999177324E-4
9.687500000E-3,3.092958359E-4
9.708333333E-3,-4.560883681E-4
9.729166667E-3,-1.218150021E-3
9.750000000E-3,-2.003899543E-3
9.770833333E-3,-2.797873924E-3
9.791666667E-3,-3.356372006E-3
9.812500000E-3,-4.061014391E-3
9.833333333E-3,-4.404008389E-3
9.854166667E-3,-5.083920434E-3
9.875000000E-3,-6.245530676E-3
9.895833333E-3,-6.999658886E-3
9.916666667E-3,-7.862693630E-3
9.937500000E-3,-8.579285815E-3
9.958333333E-3,-8.882907219E-3
9.979166667E-3,-8.698605932E-3
1.000000000E-2,-8.325014263E-3
1.002083333E-2,-8.160176687E-3
1.004166667E-2,-7.770556957E-3
1.006250000E-2,-7.230672985E-3
1.008333333E-2,-6.548854057E-3
1.010416667E-2,-6.018286105E-3
1.012500000E-2,-6.211640313E-3
1.014583333E-2,-6.576056592E-3
1.016666667E-2,-7.307704538E-3
1.018750000E-2,-8.495172486E-3
1.020833333E-2,-9.353485890E-3
1.022916667E-2,-1.009185426E-2
1.025000000E-2,-1.106527075E-2
1.027083333E-2,-1.206418872E-2
1.029166667E-2,-1.193643082E-2
1.031250000E-2,-1.158008911E-2
1.033333333E-2,-1.192151103E-2
1.035416667E-2,-1.177930553E-2
1.037500000E-2,-1.162818447E-2
1.039583333E-2,-1.153395418E-2
1.041666667E-2,-1.166399382E-2
1.043750000E-2,-1.190467179E-2
1.045833333E-2,-1.192447171E-2
1.047916667E-2,-1.223687269E-2
1.050000000E-2,-1.215125807E-2
1.052083333E-2,-1.168295182E-2
1.054166667E-2,-1.071541570E-2
1.056250000E-2,-9.957317263E-3
1.058333333E-2,-9.788042866E-3
1.060416667E-2,-9.053380229E-3
1.062500000E-2,-7.966438308E-3
1.064583333E-2,-6.448225118E-3
1.066666667E-2,-5.179989152E-3
1.068750000E-2,-4.581501707E-3
1.070833333E-2,-4.196263850E-3
1.072916667E-2,-3.693600418E-3
1.075000000E-2,-3.003760939E-3
1.077083333E-2,-2.859763801E-3
1.079166667E-2,-3.205196932E-3
1.081250000E-2,-4.136197269E-3
1.083333333E-2,-4.411130212E-3
1.085416667E-2,-4.272363614E-3
1.087500000E-2,-4.783701617E-3
1.089583333E-2,-4.240093287E-3
1.091666667E-2,-3.830986563E-3
1.093750000E-2,-3.770073410E-3
1.095833333E-2,-3.103602212E-3
1.097916667E-2,-3.303983947E-3
1.100000000E-2,-4.291724879E-3
1.102083333E-2,-4.911472555E-3
1.104166667E-2,-4.149641376E-3
1.106250000E-2,-3.794151125E-3
1.108333333E-2,-3.589714877E-3
1.110416667E-2,-2.457024297E-3
1.112500000E-2,-3.073161934E-3
1.114583333E-2,-3.374406835E-3
1.116666667E-2,-2.772231353E-3
1.118750000E-2,-3.159212414E-3
1.120833333E-2,-3.236244433E-3
1.122916667E-2,-3.975549713E-3
1.125000000E-2,-5.381919444E-3
1.127083333E-2,-6.277204026E-3
1.129166667E-2,-6.774840876E-3
1.131250000E-2,-6.877140142E-3
1.133333333E-2,-7.018391974E-3
1.135416667E-2,-7.693840656E-3
1.137500000E-2,-8.457191288E-3
1.139583333E-2,-8.983518928E-3
1.141666667E-2,-1.007346436E-2
1.143750000E-2,-1.051565260E-2
1.145833333E-2,-1.012896188E-2
1.147916667E-2,-1.001960598E-2
1.150000000E-2,-9.524024092E-3
1.152083333E-2,-9.141475894E-3
1.154166667E-2,-8.625669405E-3
1.156250000E-2,-7.814745419E-3
1.158333333E-2,-7.212171331E-3
1.160416667E-2,-6.800201256E-3
1.162500000E-2,-6.700231694E-3
1.164583333E-2,-6.219447590E-3
1.166666667E-2,-6.119453348E-3
1.168750000E-2,-6.812295876E-3
1.170833333E-2,-7.255727425E-3
1.172916667E-2,-7.975269109E-3
1.175000000E-2,-9.646616876E-3
1.177083333E-2,-1.135049760E-2
1.179166667E-2,-1.231271960E-2
1.181250000E-2,-1.317765936E-2
1.183333333E-2,-1.429121848E-2
1.185416667E-2,-1.540026627E-2
1.187500000E-2,-1.640624553E-2
1.189583333E-2,-1.696789265E-2
1.191666667E-2,-1.727784798E-2
1.193750000E-2,-1.823129132E-2
1.195833333E-2,-1.927631721E-2
1.197916667E-2,-1.979579218E-2
1.200000000E-2,-2.051122487E-2
1.202083333E-2,-2.115851641E-2
1.204166667E-2,-2.125263773E-2
1.206250000E-2,-2.136147767E-2
1.208333333E-2,-2.175637707E-2
1.210416667E-2,-2.163776755E-2
1.212500000E-2,-2.140157484E-2
1.214583333E-2,-2.157995664E-2
1.216666667E-2,-2.176304534E-2
1.218750000E-2,-2.261610329E-2
1.220833333E-2,-2.351363003E-2
1.222916667E-2,-2.376268804E-2
1.225000000E-2,-2.443824895E-2
1.227083333E-2,-2.556459606E-2
1.229166667E-2,-2.633871697E-2
1.231250000E-2,-2.688287944E-2
1.233333333E-2,-2.735960111E-2
1.235416667E-2,-2.737590671E-2
1.237500000E-2,-2.710055746E-2
1.239583333E-2,-2.675924078E-2
1.241666667E-2,-2.658007480E-2
1.243750000E-2,-2.688010596E-2
1.245833333E-2,-2.741848864E-2
1.247916667E-2,-2.809443697E-2
1.250000000E-2,-2.873253077E-2
1.252083333E-2,-2.895597741E-2
1.254166667E-2,-2.909509465E-2
1.256250000E-2,-2.927509323E-2
1.258333333E-2,-2.896981686E-2
1.260416667E-2,-2.889940515E-2
1.262500000E-2,-2.879797854E-2
1.264583333E-2,-2.775930986E-2
1.266666667E-2,-2.702445909E-2
1.268750000E-2,-2.665241063E-2
1.270833333E-2,-2.595920861E-2
1.272916667E-2,-2.518263087E-2
1.275000000E-2,-2.489218488E-2
1.277083333E-2,-2.495378070E-2
1.279166667E-2,-2.497751266E-2
1.281250000E-2,-2.496789768E-2
1.283333333E-2,-2.443944104E-2
1.285416667E-2,-2.394352853E-2
1.287500000E-2,-2.344987169E-2
1.289583333E-2,-2.307603694E-2
1.291666667E-2,-2.292723581E-2
1.293750000E-2,-2.206343040E-2
1.295833333E-2,-2.112213336E-2
1.297916667E-2,-2.016331069E-2
1.300000000E-2,-1.927580871E-2
1.302083333E-2,-1.870463602E-2
1.304166667E-2,-1.744178869E-2
1.306250000E-2,-1.614377648E-2
1.308333333E-2,-1.577275991E-2
1.310416667E-2,-1.559143327E-2
1.312500000E-2,-1.589132845E-2
1.314583333E-2,-1.653914526E-2
1.316666667E-2,-1.591383666E-2
1.318750000E-2,-1.452222466E-2
1.320833333E-2,-1.361198258E-2
1.322916667E-2,-1.313904114E-2
1.325000000E-2,-1.271212939E-2
1.327083333E-2,-1.247616578E-2
1.329166667E-2,-1.216839347E-2
1.331250000E-2,-1.155626029E-2
1.333333333E-2,-1.100823842E-2
1.335416667E-2,-1.052244287E-2
1.337500000E-2,-1.076379139E-2
1.339583333E-2,-1.075569727E-2
1.341666667E-2,-9.500146843E-3
1.343750000E-2,-8.295522071E-3
1.345833333E-2,-7.059398107E-3
1.347916667E-2,-5.339368246E-3
1.350000000E-2,-4.333749879E-3
1.352083333E-2,-4.372489639E-3
1.354166667E-2,-4.004655406E-3
1.356250000E-2,-3.473801771E-3
1.358333333E-2,-3.643803997E-3
1.360416667E-2,-3.846931504E-3
1.362500000E-2,-3.641421907E-3
1.364583333E-2,-3.243132494E-3
1.366666667E-2,-3.313946538E-3
1.368750000E-2,-3.203914501E-3
1.370833333E-2,-2.499986673E-3
1.372916667E-2,-1.964993076E-3
1.375000000E-2,-1.114130486E-3
1.377083333E-2,-2.169074578E-4
1.379166667E-2,2.187936188E-4
1.381250000E-2,6.827638717E-4
1.383333333E-2,9.846334578E-4
1.385416667E-2,9.794515790E-4
1.387500000E-2,1.137131592E-3
1.389583333E-2,1.233315095E-3
1.391666667E-2,9.865352185E-4
1.393750000E-2,1.258380827E-3
1.395833333E-2,1.627618214E-3
1.397916667E-2,1.370761427E-3
1.400000000E-2,1.177808968E-3
1.402083333E-2,1.213717624E-3
1.404166667E-2,1.166125294E-3
1.406250000E-2,1.352151274E-3
1.408333333E-2,1.906209392E-3
1.410416667E-2,2.013232559E-3
1.412500000E-2,2.711749636E-3
1.414583333E-2,4.038722254E-3
1.416666667E-2,4.471038003E-3
1.418750000E-2,4.962959327E-3
1.420833333E-2,5.245623644E-3
1.422916667E-2,5.045454949E-3
1.425000000E-2,5.549683236E-3
1.427083333E-2,6.206000224E-3
1.429166667E-2,6.265089847E-3
1.431250000E-2,6.643562578E-3
1.433333333E-2,7.512841374E-3
1.435416667E-2,7.865045220E-3
1.437500000E-2,8.231928572E-3
1.439583333E-2,8.521923795E-3
1.441666667E-2,8.315293118E-3
1.443750000E-2,8.486844599E-3
1.445833333E-2,8.627865463E-3
1.447916667E-2,8.546304889E-3
1.450000000E-2,8.599351160E-3
1.452083333E-2,8.410259150E-3
1.454166667E-2,7.824803703E-3
