"Time (s)","Recording (a.u.)"
4.583333333E-3,5.485010799E-3
4.604166667E-3,4.102916922E-3
4.625000000E-3,3.559938865E-3
4.645833333E-3,2.864000853E-3
4.666666667E-3,2.354997443E-3
4.687500000E-3,2.078178572E-3
4.708333333E-3,1.546003157E-3
4.729166667E-3,1.097872155E-3
4.750000000E-3,1.444638357E-3
4.770833333E-3,2.477922011E-3
4.791666667E-3,3.571267240E-3
4.812500000E-3,4.446567036E-3
4.833333333E-3,4.063361324E-3
4.854166667E-3,3.320492106E-3
4.875000000E-3,4.201817326E-3
4.895833333E-3,5.865388550E-3
4.916666667E-3,6.510382518E-3
4.937500000E-3,6.103831343E-3
4.958333333E-3,5.552993622E-3
4.979166667E-3,5.512199365E-3
5.000000000E-3,5.764130503E-3
5.020833333E-3,5.625823978E-3
5.041666667E-3,6.445142906E-3
5.062500000E-3,7.814015262E-3
5.083333333E-3,8.096154779E-3
5.104166667E-3,8.299332112E-3
5.125000000E-3,8.421210572E-3
5.145833333E-3,7.815943100E-3
5.166666667E-3,7.315315306E-3
5.187500000E-3,7.470456883E-3
5.208333333E-3,7.418834604E-3
5.229166667E-3,7.136026397E-3
5.250000000E-3,6.524497177E-3
5.270833333E-3,6.009095348E-3
5.291666667E-3,6.426618434E-3
5.312500000E-3,7.218367886E-3
5.333333333E-3,7.981581613E-3
5.354166667E-3,7.251996547E-3
5.375000000E-3,6.474133581E-3
5.395833333E-3,6.674901582E-3
5.416666667E-3,6.085317116E-3
5.437500000E-3,5.444275215E-3
5.458333333E-3,4.437859636E-3
5.479166667E-3,3.716365667E-3
5.500000000E-3,3.754625330E-3
5.520833333E-3,2.987363143E-3
5.541666667E-3,2.425732324E-3
5.562500000E-3,3.185167443E-3
5.583333333E-3,4.305679351E-3
5.604166667E-3,4.263055511E-3
5.625000000E-3,3.583820537E-3
5.645833333E-3,3.357502632E-3
5.666666667E-3,2.751613967E-3
5.687500000E-3,1.431883546E-3
5.708333333E-3,6.182441721E-4
5.729166667E-3,9.493018733E-4
5.750000000E-3,8.822380332E-4
5.770833333E-3,-2.039399697E-4
5.791666667E-3,-7.965893019E-4
5.812500000E-3,-7.605295395E-4
5.833333333E-3,-1.301472192E-3
5.854166667E-3,-2.359471051E-3
5.875000000E-3,-2.510678256E-3
5.895833333E-3,-1.648162608E-3
5.916666667E-3,-1.043443102E-3
5.937500000E-3,-8.084218716E-4
5.958333333E-3,-7.745818002E-4
5.979166667E-3,-1.300570788E-3
6.000000000E-3,-2.031903248E-3
6.020833333E-3,-3.313849913E-3
6.041666667E-3,-4.651665222E-3
6.062500000E-3,-4.452596884E-3
6.083333333E-3,-3.978570458E-3
6.104166667E-3,-3.761821426E-3
6.125000000E-3,-3.027664497E-3
6.145833333E-3,-2.349631162E-3
6.166666667E-3,-1.934914966E-3
6.187500000E-3,-1.462918473E-3
6.208333333E-3,-3.384566517E-4
6.229166667E-3,4.196736263E-4
6.250000000E-3,5.417362554E-4
6.270833333E-3,1.254627830E-3
6.291666667E-3,1.463460270E-3
6.312500000E-3,1.241342863E-3
6.333333333E-3,1.183369081E-3
6.354166667E-3,4.038637271E-4
6.375000000E-3,1.714866958E-4
6.395833333E-3,1.060400624E-3
6.416666667E-3,1.193357049E-3
6.437500000E-3,1.409407123E-3
6.458333333E-3,2.315951046E-3
6.479166667E-3,1.745641232E-3
6.500000000E-3,8.292777347E-4
6.520833333E-3,8.229587693E-4
6.541666667E-3,1.031079097E-3
6.562500000E-3,1.402230817E-3
6.583333333E-3,2.551135607E-3
6.604166667E-3,4.026200622E-3
6.625000000E-3,3.605144797E-3
6.645833333E-3,3.313462948E-3
6.666666667E-3,4.258791916E-3
6.687500000E-3,4.629108123E-3
6.708333333E-3,5.471587181E-3
6.729166667E-3,6.300338544E-3
6.750000000E-3,5.448211916E-3
6.770833333E-3,4.296119791E-3
6.791666667E-3,4.483481403E-3
6.812500000E-3,5.529060028E-3
6.833333333E-3,7.176990155E-3
6.854166667E-3,8.510401472E-3
6.875000000E-3,9.003750980E-3
6.895833333E-3,8.679883555E-3
6.916666667E-3,7.538976148E-3
6.937500000E-3,5.555603188E-3
6.958333333E-3,2.254020888E-3
6.979166667E-3,4.275608517E-4
7.000000000E-3,3.713808255E-4
7.020833333E-3,-1.294858812E-4
7.041666667E-3,-6.719214143E-4
7.062500000E-3,-1.075239270E-3
7.083333333E-3,-6.416178076E-4
7.104166667E-3,-7.026386447E-5
7.125000000E-3,6.723303813E-4
7.145833333E-3,2.208893653E-3
7.166666667E-3,2.333523706E-3
7.187500000E-3,1.846128260E-3
7.208333333E-3,1.161765773E-3
7.229166667E-3,-9.637053881E-5
7.250000000E-3,-4.874401493E-4
7.270833333E-3,-9.936450515E-4
7.291666667E-3,-6.452109083E-4
7.312500000E-3,4.035428865E-4
7.333333333E-3,8.396220510E-4
7.354166667E-3,2.178801922E-3
7.375000000E-3,2.904501744E-3
7.395833333E-3,2.462991979E-3
7.416666667E-3,2.633461263E-3
7.437500000E-3,3.186379792E-3
7.458333333E-3,3.872557078E-3
7.479166667E-3,4.524396267E-3
7.500000000E-3,4.161353689E-3
7.520833333E-3,3.513433738E-3
7.541666667E-3,3.386744531E-3
7.562500000E-3,3.451270284E-3
7.583333333E-3,4.387487657E-3
7.604166667E-3,4.920851905E-3
7.625000000E-3,4.821415059E-3
7.645833333E-3,5.164782517E-3
7.666666667E-3,5.939268507E-3
7.687500000E-3,7.475821301E-3
7.708333333E-3,8.126316592E-3
7.729166667E-3,8.425774053E-3
7.750000000E-3,9.806520306E-3
7.770833333E-3,1.026928984E-2
7.791666667E-3,9.934757836E-3
7.812500000E-3,1.034439076E-2
7.833333333E-3,1.024038158E-2
7.854166667E-3,9.117890149E-3
7.875000000E-3,8.717136458E-3
7.895833333E-3,9.064670652E-3
7.916666667E-3,9.056482464E-3
7.937500000E-3,9.250896052E-3
7.958333333E-3,9.975831956E-3
7.979166667E-3,9.498914704E-3
8.000000000E-3,8.586829528E-3
8.020833333E-3,8.987585083E-3
8.041666667E-3,8.926116861E-3
8.062500000E-3,8.591205813E-3
8.083333333E-3,8.509056643E-3
8.104166667E-3,7.945658639E-3
8.125000000E-3,8.165239356E-3
8.145833333E-3,8.419188671E-3
8.166666667E-3,7.786234841E-3
8.187500000E-3,7.686431054E-3
8.208333333E-3,8.340710774E-3
8.229166667E-3,8.493539877E-3
8.250000000E-3,7.715284824E-3
8.270833333E-3,7.030516863E-3
8.291666667E-3,6.582660601E-3
8.312500000E-3,6.368399598E-3
8.333333333E-3,6.642580498E-3
8.354166667E-3,6.796827540E-3
8.375000000E-3,6.236364599E-3
8.395833333E-3,4.849497695E-3
8.416666667E-3,3.626540769E-3
8.437500000E-3,1.940106973E-3
8.458333333E-3,9.818701074E-5
8.479166667E-3,-6.847259938E-4
8.500000000E-3,-2.330075484E-3
8.520833333E-3,-3.687150311E-3
8.541666667E-3,-3.613156732E-3
8.562500000E-3,-4.590697587E-3
8.583333333E-3,-5.494996905E-3
8.604166667E-3,-4.804583266E-3
8.625000000E-3,-4.823385272E-3
8.645833333E-3,-5.193186924E-3
8.666666667E-3,-4.786621779E-3
8.687500000E-3,-5.082629621E-3
8.708333333E-3,-5.883818492E-3
8.729166667E-3,-7.405421231E-3
8.750000000E-3,-8.609659038E-3
8.770833333E-3,-8.684820496E-3
8.791666667E-3,-9.124303237E-3
8.812500000E-3,-8.696454577E-3
8.833333333E-3,-7.731746882E-3
8.854166667E-3,-7.613729686E-3
8.875000000E-3,-7.553264499E-3
8.895833333E-3,-6.764253601E-3
8.916666667E-3,-5.521754269E-3
8.937500000E-3,-5.118689500E-3
8.958333333E-3,-5.129577592E-3
8.979166667E-3,-4.618179053E-3
9.000000000E-3,-4.324701615E-3
9.020833333E-3,-4.630096257E-3
9.041666667E-3,-4.345308989E-3
9.062500000E-3,-4.131133668E-3
9.083333333E-3,-5.199874751E-3
9.104166667E-3,-6.110090762E-3
9.125000000E-3,-6.595011801E-3
9.145833333E-3,-6.610005163E-3
9.166666667E-3,-6.642343011E-3
9.187500000E-3,-7.517757826E-3
9.208333333E-3,-8.115336299E-3
9.229166667E-3,-7.957034744E-3
9.250000000E-3,-7.289051544E-3
9.270833333E-3,-7.533205673E-3
9.291666667E-3,-8.309507743E-3
9.312500000E-3,-8.444312960E-3
9.333333333E-3,-8.256372996E-3
9.354166667E-3,-7.216343656E-3
9.375000000E-3,-6.363029592E-3
9.395833333E-3,-5.888918415E-3
9.416666667E-3,-4.856580403E-3
9.437500000E-3,-3.904684214E-3
9.458333333E-3,-2.845702693E-3
9.479166667E-3,-1.873203320E-3
9.500000000E-3,-1.423539128E-3
9.520833333E-3,-6.650901632E-4
9.541666667E-3,-4.949295544E-5
9.562500000E-3,-1.279822027E-4
9.583333333E-3,-1.279931166E-5
9.604166667E-3,-1.498108468E-4
9.625000000E-3,-9.347476298E-4
9.645833333E-3,-1.329945633E-3
9.666666667E-3,-1.067411853E-3
9.687500000E-3,-1.125404378E-4
9.708333333E-3,1.098360051E-3
9.729166667E-3,1.827514381E-3
9.750000000E-3,2.388261026E-3
9.770833333E-3,2.626194153E-3
9.791666667E-3,2.711132169E-3
9.812500000E-3,3.044596408E-3
9.833333333E-3,3.648758167E-3
9.854166667E-3,4.262075759E-3
9.875000000E-3,4.305476323E-3
9.895833333E-3,4.858004395E-3
9.916666667E-3,4.956743680E-3
9.937500000E-3,4.206219222E-3
9.958333333E-3,4.225935321E-3
9.979166667E-3,3.562757280E-3
1.000000000E-2,3.112979699E-3
1.002083333E-2,3.148392541E-3
1.004166667E-2,2.199320123E-3
1.006250000E-2,2.087371191E-3
1.008333333E-2,1.907419763E-3
1.010416667E-2,1.454432029E-3
1.012500000E-2,2.437675605E-3
1.014583333E-2,3.196959849E-3
1.016666667E-2,3.880566917E-3
1.018750000E-2,4.945410416E-3
1.020833333E-2,5.676441826E-3
1.022916667E-2,6.175956223E-3
1.025000000E-2,5.383769050E-3
1.027083333E-2,4.408820532E-3
1.029166667E-2,4.140192643E-3
1.031250000E-2,3.916650079E-3
1.033333333E-2,4.442302510E-3
