"Frequency (Hz)","Absolute Amplitude (a.u.)"
6.328125000E3,6.897795113E-3
6.351562500E3,5.989201023E-2
6.375000000E3,5.950611637E-3
6.398437500E3,1.026731433E-2
6.421875000E3,3.297071104E-2
6.445312500E3,3.238676133E-2
6.468750000E3,4.672287815E-2
6.492187500E3,3.790666482E-2
6.515625000E3,3.886863062E-2
6.539062500E3,7.943270908E-2
6.562500000E3,1.161988052E-2
6.585937500E3,4.273883103E-2
6.609375000E3,5.083022343E-2
6.632812500E3,7.280617318E-2
6.656250000E3,4.146086704E-2
6.679687500E3,6.152546587E-2
6.703125000E3,4.252197141E-2
6.726562500E3,7.047014899E-2
6.750000000E3,1.042091605E-1
6.773437500E3,5.076458550E-2
6.796875000E3,4.065318877E-2
6.820312500E3,4.179157748E-2
6.843750000E3,4.371276242E-2
6.867187500E3,7.985586189E-2
6.890625000E3,7.987291115E-2
6.914062500E3,4.642269078E-2
6.937500000E3,3.251467664E-2
6.960937500E3,3.377304263E-2
6.984375000E3,1.571001626E-2
7.007812500E3,2.925899961E-2
7.031250000E3,7.418695100E-2
7.054687500E3,6.216241555E-2
7.078125000E3,3.725923523E-2
7.101562500E3,7.662830016E-2
7.125000000E3,4.171875809E-2
7.148437500E3,4.458367097E-2
7.171875000E3,9.157757159E-2
7.195312500E3,4.339908061E-2
7.218750000E3,8.651127537E-2
7.242187500E3,2.566530255E-2
7.265625000E3,4.390535063E-2
7.289062500E3,3.952054222E-2
7.312500000E3,6.638730376E-2
7.335937500E3,3.635741255E-2
7.359375000E3,5.295498233E-2
7.382812500E3,7.825511547E-2
7.406250000E3,3.917821611E-2
7.429687500E3,2.757073108E-2
7.453125000E3,6.941344185E-2
7.476562500E3,7.739202753E-2
7.500000000E3,2.584478908E-2
7.523437500E3,1.178695844E-1
7.546875000E3,3.819187345E-2
7.570312500E3,8.845577786E-2
7.593750000E3,6.399368836E-2
7.617187500E3,1.899134877E-2
7.640625000E3,4.027487311E-2
7.664062500E3,6.158245298E-2
7.687500000E3,4.791747198E-2
7.710937500E3,4.308999898E-3
7.734375000E3,5.498571290E-2
7.757812500E3,2.571286624E-2
7.781250000E3,5.717872461E-2
7.804687500E3,1.284726322E-2
7.828125000E3,8.373402123E-3
7.851562500E3,4.779870058E-2
7.875000000E3,2.305306243E-2
